sell_time,pnl_amount,pnl_percentage,basis,buy_order_id
2025-11-19,0.5800000000000134,0.0028208744710861017,205.60999999999999,8865ffa4-7dea-4c18-be42-16e87fb18a24
2025-11-19,-13.366093366079996,-0.06221408966148213,214.84029484008002,873795e6-4f34-4e5e-9711-87cbb5681f93
2025-11-19,-39.34426229442002,-0.18715596330275236,210.22179363195002,814970bd-7d71-4961-90aa-58b6101b17d6
2025-11-19,-5.099999999999998,-0.024548736462093854,207.75,1fe96f5a-f1e6-46da-9a99-266ff6093bc7
2025-11-19,-5.361235491926104,-0.02682024227381244,199.8951179184861,914d58ef-2fd6-4d91-bf00-88dda6744a8c
2025-11-13,-1.6736401672000238,-0.008361204013378044,200.16736399712002,3f6f8955-4391-4da4-b258-e02fb5df7bf7
2025-11-14,-4.074235367728486,-0.0202564455569462,201.13278789582,c4b50242-9d59-450f-9d70-877602908790
2025-11-19,-11.48676171051,-0.05778688524590165,198.77800406839998,adb22921-a400-4a50-ace9-5c595a860936
2025-11-19,-22.107599999999994,-0.10510281797410509,210.34259999999998,a46914e5-5a78-48b8-9a89-6f9e34a0568f
2025-11-19,5.703300224110003,0.028343949044586005,201.21755846859998,901ffaab-6d6a-481e-895e-c550ba9c57dc
2025-11-19,-12.40310077512001,-0.060606060606060656,204.65116278948,106af55a-af19-495f-a941-07a5ec132d69
2025-11-19,-14.949837007797772,-0.07289954943759659,205.07447745743775,8a849471-d4f4-4c58-9b1e-9e9109f1b8d2
2025-11-19,-0.8599890000000103,-0.004288366645916243,200.53998900000002,36171b2d-5f55-4290-8a7e-80d2293ac2f0
2025-11-19,-3.3023735809600026,-0.01646090534979425,200.61919504332,89767b28-64d1-4c51-a140-c04dc9b20813
2025-11-19,-0.9260814081399039,-0.0044128749293465205,209.85897469725987,c6c654f3-ef1f-46e4-94e5-84245e4b4e82
2025-11-19,-4.226618704850021,-0.021559633027523045,196.043165459,448b5db6-eb75-41b2-a6bf-57dfee399c58
2025-11-19,3.5819378426818855,0.01810151229648586,197.8805850037881,852ee027-d979-4c0b-9856-b9e33e0b1a4e
2025-11-19,-25.62999999999998,-0.11026975863700891,232.42999999999998,46662636-b956-4401-a138-86849850093e
2025-11-13,0.5099999999999891,0.002692998204667806,189.38,8b17fb9d-9cad-47f6-b6d7-267ba2531de7
2025-11-18,-3.568242640399987,-0.017889087656529454,199.46476359835998,e6265eec-7d04-43c8-bebd-75d8dda443be
2025-11-18,5.257814029331696,0.02574786925645095,204.20384991718828,6aea5d4d-961a-4b9e-be7a-b3ba84ecafd9
2025-11-13,-2.519999999999996,-0.012261580381471371,205.51999999999998,69d4da02-7f10-4f09-af04-8fd4a329c6c6
2025-11-18,-2.45000000000001,-0.011892626571525702,206.01,d0274a7f-4ed7-494a-a8de-d688fa4b9585
2025-11-18,-3.479639639558904,-0.01742747117787245,199.66405934883892,c12b5bc5-70a3-4318-9383-caf55802008e
2025-11-18,-0.30000000000001137,-0.0014204545454545993,211.20000000000002,917ae8dd-6493-4a83-ad26-e2faebe96460
2025-11-18,-1.9000000000000128,-0.008552779653387408,222.15,3a96a468-4a8c-4369-bc24-ef857b18887f
