IBOrderID,qty,pnl,basis,netcash,date
625451741,-229,357.19176500000003,-5826.910183,6184.1019479999995,2025-08-14;140046
625451839,-904,589.40966,-6477.179888000001,7066.589548,2025-08-14;140050
625452079,-55,44.18845,-5051.10121,5095.28966,2025-08-14;140106
625452372,-5,262.54895,-4320.95011,4583.49906,2025-08-14;140101
625452444,-330,92.3307,-5928.45726,6020.78796,2025-08-14;140116
625464097,-219,-64.55599000000001,-4810.3398179999995,4745.7838280000005,2025-08-14;142144
625818320,-1115,-0.23414999999999994,-5457.94953,5457.71538,2025-08-15;140018
625818398,-9,498.15811,-5832.340198,6330.498308,2025-08-15;140024
625818465,-582,-86.60222,-5013.942804,4927.340584,2025-08-15;140042
625818659,-592,-302.04431999999997,-5591.453024,5289.408704,2025-08-15;140029
625818671,-591,-295.62434,-5576.098232,5280.473892,2025-08-15;140033
625818694,-4386,440.53894099999997,-7916.966491,8357.505432,2025-08-15;140037
625818732,-1238,185.44002,-4822.037236,5007.477256,2025-08-15;140101
625818925,-3389,-305.72169,-4795.509558,4489.787867999999,2025-08-15;140048
625818959,-185,-42.73885,-6387.20407,6344.46522,2025-08-15;140116
625818995,-97,43.56963,-4975.162134,5018.731764,2025-08-15;140052
625819000,-109,49.20710999999999,-5590.522398,5639.729508,2025-08-15;140056
625819036,-66,-168.99386,-6423.461452,6254.467592,2025-08-15;140129
625819102,-5,221.24895,-4283.05011,4504.29906,2025-08-15;140111
625819131,-347,-93.76287,-5574.562634,5480.799764,2025-08-15;140125
625819208,-1300,-198.27300000000002,-4582.5286,4384.2556,2025-08-15;140120
625819280,-484,-121.10213999999999,-5031.191148,4910.089008,2025-08-15;140106
626258532,-6328,647.0439200000001,-5218.122416,5865.166336,2025-08-18;140056
626258558,-9,13.74811,-6285.250198,6298.998308,2025-08-18;140039
626258563,-249,7.94771,-5304.420478,5312.368188,2025-08-18;140047
626258712,-2104,-348.12184,-6827.526288,6479.404448,2025-08-18;140110
626258939,-653,176.17187,-6801.0103659999995,6977.182236,2025-08-18;140101
626259031,-763,541.56977,-5596.621786,6138.191556,2025-08-18;140106
626259164,-69,-2.01449,-4997.291518,4995.277028,2025-08-18;140116
626261706,-193,53.929469999999995,-5598.004246,5651.933716,2025-08-18;140652
626676232,-186,37.020939999999996,-5594.024092,5631.045032,2025-08-19;140034
626676675,-58,-99.45218,-7165.161276,7065.709096,2025-08-19;140053
626676768,-333,419.51007000000004,-7191.142326,7610.652396,2025-08-19;140111
626676807,-5124,-330.37444,-4790.872728,4460.498288,2025-08-19;140057
626676812,-909,-322.34089,-7362.374997999999,7040.034108,2025-08-19;140101
626677088,-434,121.42886,-4810.899547999999,4932.328407999999,2025-08-19;140131
626677385,-63,60.35677,-5946.311386,6006.668156,2025-08-19;140121
626677446,-232,-13.968720000000001,-6040.125104,6026.156384,2025-08-19;140107
626682896,-105,-95.82205,-5356.35231,5260.53026,2025-08-19;140750
626697629,-356,-351.41026,-5742.963331999999,5391.553072,2025-08-19;144208
626697848,-288,-423.66048,-5920.086336,5496.425856,2025-08-19;144221
626699789,-5,-48.40105,-4502.10011,4453.69906,2025-08-19;144926
627079838,-1989,79.14180999999999,-7607.969258,7687.111068,2025-08-20;140037
627079960,-263,-92.73572999999999,-5951.011286,5858.2755560000005,2025-08-20;140018
627080128,-202,398.01758,-7765.774444,8163.792024,2025-08-20;140023
627080132,-62,135.00698,-5705.621364,5840.628344,2025-08-20;140027
627080311,-5,48.29895,-4440.15011,4488.44906,2025-08-20;140032
627462879,-1536,-184.64256,-6120.993791999999,5936.351232,2025-08-21;140019
627463011,-800,151.832,-5436.0176,5587.8496,2025-08-21;140014
627463231,-5,-128.55105,-4495.55011,4366.99906,2025-08-21;140038
627463269,-3618,-217.84078,-5589.890596,5372.049816,2025-08-21;140029
627463348,-2009,59.84811,-6358.529197999999,6418.377308,2025-08-21;140034
627463356,-119,7.44501,-4820.552618,4827.997628,2025-08-21;140042
627511458,-100,-10.521,-717.5022,706.9812,2025-08-21;160000
627512107,-11000,572.84,-6190.092,6762.932,2025-08-21;160000
627731615,-3200,234.328001,-3856.070399,4090.3984,2025-08-22;140053
627731618,-1788,-10.375480000000001,-5079.019336,5068.643856,2025-08-22;140059
627731619,-325,-0.06825000000000002,-5367.3821499999995,5367.3139,2025-08-22;140103
627731675,-2226,-0.46746,-5197.7589720000005,5197.291512,2025-08-22;140112
627731786,-800,-147.168,-5743.0176,5595.8496,2025-08-22;140049
627731900,-650,148.3635,-6730.764299999999,6879.1278,2025-08-22;140122
627731939,-561,476.73219,-6140.1573419999995,6616.889532,2025-08-22;140118
627731966,-487,238.52773,-7614.255714,7852.783444,2025-08-22;140126
627732029,-5,11.815617,-4531.133443,4542.94906,2025-08-22;140131
627738772,-16884,-131.635765,-5805.923478,5674.287712599999,2025-08-22;142632
628414998,-201,345.67779,-5976.739422000001,6322.417212,2025-08-26;140029
628415104,-2796,1089.85284,-5634.001512,6723.854352,2025-08-26;140019
628415108,-733,161.10607,-6109.571126,6270.677196,2025-08-26;140025
628415368,-207,335.29653,-8144.419554,8479.716084,2025-08-26;140034
628415378,-157,143.97703,-5706.383454,5850.360484000001,2025-08-26;140043
628415385,-297,308.81763,-6921.591534,7230.409164,2025-08-26;140057
628415505,-158,42.20682,-5240.283476,5282.490296,2025-08-26;140049
628415579,-17,-65.58357,-5348.690374,5283.106804,2025-08-26;140111
