CurrencyPrimary,IBCommission,Open/CloseIndicator,CostBasis,FifoPnlRealized,LevelOfDetail,trade_date
USD,-1.5564,C,-643.5066,-15.063,EXECUTION,2025-07-07
USD,-3.1128,C,-1287.0132,-30.126,EXECUTION,2025-07-07
USD,-0.5188,C,-214.5022,-5.021,EXECUTION,2025-07-07
USD,-1.99738,C,-825.83347,-19.33085,EXECUTION,2025-07-07
USD,-2.594,C,-1072.511,-25.105,EXECUTION,2025-07-07
USD,-0.254212,C,-105.106078,-2.46029,EXECUTION,2025-07-07
USD,-1.0376,C,-363.337733,19.624667,EXECUTION,2025-08-15
USD,-0.5188,C,-180.335533,11.145667,EXECUTION,2025-08-15
USD,-0.5188,C,-180.335533,10.145667,EXECUTION,2025-08-15
USD,-2.594,C,-912.511,39.895,EXECUTION,2025-08-15
USD,-0.5188,C,-182.5022,7.979,EXECUTION,2025-08-15
USD,-1.0376,C,-365.0044,15.958,EXECUTION,2025-08-15
USD,-0.5188,C,-182.5022,7.979,EXECUTION,2025-08-15
USD,-2.594,C,-908.511,43.895,EXECUTION,2025-08-15
USD,-0.5188,C,-179.5022,10.979,EXECUTION,2025-08-15
USD,-3.1128,C,-1077.0132,65.874,EXECUTION,2025-08-15
USD,-3.1128,C,-1077.0132,65.874,EXECUTION,2025-08-15
USD,-3.1128,C,-1077.0132,65.874,EXECUTION,2025-08-15
USD,-0.5188,C,-179.5022,10.979,EXECUTION,2025-08-15
USD,-0.5188,C,-179.5022,10.979,EXECUTION,2025-08-15
USD,-1.5564,C,-538.5066,32.937,EXECUTION,2025-08-15
USD,-0.5188,C,-179.5022,10.979,EXECUTION,2025-08-15
USD,-0.446168,C,-154.371892,9.44194,EXECUTION,2025-08-15
USD,-1.0188,C,-119.0022,21.979,EXECUTION,2025-09-25
USD,-0.5376,C,-236.984169,46.478231,EXECUTION,2025-09-25
USD,-0.5188,C,-118.492085,22.989115,EXECUTION,2025-09-25
USD,-1.0376,C,-236.984169,45.978231,EXECUTION,2025-09-25
